run_id,geometry,family,n_atoms,device_profile,replicate,omega_mhz,delta_initial_mhz,delta_target_mhz,delta_over_omega,sweep_ns,hold_ns,fall_ns,sweep_rate_mhz_per_us,blockade_ratio,method,samples,unique_basins,shannon_entropy_nats,normalized_entropy,collision_probability_p_q1,effective_basin_count,top_basin_mass,best_energy_mhz,mean_energy_mhz,energy_std_mhz,mean_replica_overlap,mean_pairwise_hamming,negative_overlap_mass,low_energy_threshold_mhz,low_energy_mass,unique_low_energy_basins,reference_minima,reference_basin_coverage,effective_basin_count_ci_lower,effective_basin_count_ci_upper,normalized_entropy_ci_lower,normalized_entropy_ci_upper,mean_energy_mhz_ci_lower,mean_energy_mhz_ci_upper,mean_pairwise_hamming_ci_lower,mean_pairwise_hamming_ci_upper,low_energy_mass_ci_lower,low_energy_mass_ci_upper,wall_seconds,generation_energy_evaluations,descent_flip_cost_evaluations
g00_p000_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,quantum,500.0,29,2.748090464568978,0.8161119792614172,0.08817600000000002,11.340954454726907,0.164,-7.268416771394149,-6.650933201468063,0.6286012141469455,0.29192266666666666,4.248464,0.18158400000000002,-7.018416771394149,0.502,6,31,0.9354838709677419,10.030462973462136,12.443352728640036,0.796829788025335,0.8446700987330057,-6.711980731025911,-6.591083325540091,4.090377800000001,4.374943399999999,0.46,0.5480999999999999,0.2968825040006777,,7572
g00_p000_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,uniform_random,500.0,31,3.134736010738973,0.9128560545143208,0.052216000000000005,19.151218017465908,0.092,-7.268416771394149,-6.429016699163185,0.630506611403116,0.1874573333333333,4.875256,0.27086400000000005,-7.018416771394149,0.334,6,31,1.0,16.962780336036925,19.850880236853964,0.8899388550149469,0.9264427889901374,-6.481299602343314,-6.373040483693321,4.7657114,4.9630394,0.29185,0.37005,0.007092777999787359,0,24384
g00_p000_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,simulated_annealing,500.0,27,2.5092185009676964,0.761329702586196,0.11200800000000001,8.92793371902007,0.164,-7.268416771394149,-6.914189872298234,0.47328515544094335,0.30722666666666665,4.15664,0.17911999999999995,-7.018416771394149,0.654,6,31,0.8709677419354839,8.121512796319593,9.666785925602118,0.7365672929308275,0.7941139284871571,-6.955252955956982,-6.866756771309821,3.9946094000000008,4.314274600000001,0.6198,0.702,3.1850533750002796,360000,540
g00_p000_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,parallel_tempering,500.0,10,1.691354813990251,0.7345460626564668,0.26304800000000006,3.801587542957938,0.454,-7.268416771394149,-7.176025213106007,0.100940982865877,0.611856,2.3288640000000003,0.009568,-7.018416771394149,0.9460000000000001,6,31,0.3225806451612903,3.374498328055784,4.347549883714826,0.6977654764469459,0.7709734027065465,-7.18384663930231,-7.165444996748724,2.1676456,2.5164944000000005,0.928,0.964,2.886143075000291,312010,216
g00_p000_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,quantum,500.0,25,2.7177111056178487,0.8443044259804982,0.08732,11.452130096197893,0.166,-7.268416771394149,-6.59928084059356,0.633805530967933,0.28971066666666667,4.261736,0.184504,-7.018416771394149,0.458,6,31,0.8064516129032258,10.18701391421039,12.46488350051358,0.8238101913718175,0.8722210537367671,-6.642298759230265,-6.543577971091418,4.115822199999999,4.3670234,0.41595,0.49605,0.2510752620000858,,6924
g00_p000_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,uniform_random,500.0,31,3.1698193327359934,0.9230725521038279,0.050952,19.62631496310253,0.1,-7.268416771394149,-6.460252297333855,0.6376530303127496,0.194596,4.832424,0.258272,-7.018416771394149,0.37,6,31,1.0,17.171043437468466,21.012023094080448,0.8990438094899645,0.9378045616244141,-6.516043664306346,-6.39259606671465,4.7200692,4.925804800000001,0.32195,0.4101000000000001,0.006214000999534619,0,24276
g00_p000_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,simulated_annealing,500.0,29,2.5796740957921145,0.766096662140456,0.110256,9.069801189957916,0.192,-7.268416771394149,-6.885882291417811,0.5081681173195502,0.29521200000000003,4.228728,0.19843999999999998,-7.018416771394149,0.65,6,31,0.9354838709677419,8.123532254717201,9.796636902156143,0.7432768445027652,0.7959490730530576,-6.923309995339153,-6.838680783631241,4.0543038,4.395965200000001,0.61185,0.68805,3.6053729560007923,360000,516
g00_p000_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,parallel_tempering,500.0,10,1.6480728511298357,0.715748945020247,0.265536,3.7659677030609786,0.45,-7.268416771394149,-7.179963573490277,0.0939393752065944,0.6289493333333332,2.2263040000000007,0.006864,-7.018416771394149,0.962,6,31,0.3225806451612903,3.3503817159291565,4.239299432620408,0.6789667684741587,0.758727801779257,-7.188293550978051,-7.170970821385092,2.0581908,2.4095668,0.94395,0.978,3.3540980859997944,312010,240
g00_p001_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,200,300,300,37.5,1.104500186288899,quantum,500.0,30,2.9360410613134635,0.8632374813480036,0.07194400000000001,13.899699766485043,0.148,-7.268416771394149,-6.67362940985278,0.6137930952119935,0.24108400000000002,4.553495999999999,0.221984,-7.018416771394149,0.524,6,31,0.967741935483871,11.94666068022844,15.182856248458927,0.8385258116738793,0.8859204296851358,-6.734277358740108,-6.619421439813826,4.388369599999999,4.6840464,0.48195,0.5721,0.5686186679995444,,6648
g00_p001_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,200,300,300,37.5,1.104500186288899,uniform_random,500.0,31,3.134736010738973,0.9128560545143208,0.052216000000000005,19.151218017465908,0.092,-7.268416771394149,-6.429016699163185,0.630506611403116,0.1874573333333333,4.875256,0.27086400000000005,-7.018416771394149,0.334,6,31,1.0,16.962780336036925,19.850880236853964,0.8899388550149469,0.9264427889901374,-6.481299602343314,-6.373040483693321,4.7657114,4.9630394,0.29185,0.37005,0.007092777999787359,0,24384
