geometry,family,n_atoms,screening_label_geometry,connected_components,has_odd_cycle,triangles,cycle_rank,nearest_distance_cv,bond_strength_cv,delta_target_mhz,landscape_screen_label,screening_note,enumerated_states,local_minima,ground_energy_mhz,ground_state_degeneracy,low_lying_minima,local_minimum_energy_span_mhz,exact_basin_entropy_nats,exact_effective_basin_count,largest_exact_basin_fraction,exact_low_energy_basin_volume_fraction,barrier_merges,low_energy_barrier_merges,max_low_energy_barrier_mhz,max_barrier_above_higher_minimum_mhz,max_barrier_above_lower_minimum_mhz,barrier_threshold_mhz,minimum_effective_basins_threshold
kagome_n12,clean_kagome,12,clean_frustrated_candidate,1,True,4,5,7.251946429389432e-17,3.743392130574644e-16,1.5,rugged_low_energy_candidate,passes low-energy multiplicity and barrier filters,4096,31,-6.683403527656066,1,3,1.6635883827703593,3.147116573118301,18.69102770920045,0.104248046875,0.229248046875,30,2,1.1179689462644449,1.1355953984478733,2.6734959552132125,0.25,2.0
kagome_n12,clean_kagome,12,clean_frustrated_candidate,1,True,4,5,7.251946429389432e-17,3.743392130574644e-16,3.0,rugged_low_energy_candidate,passes low-energy multiplicity and barrier filters,4096,31,-14.183403527656065,1,3,3.1635883827703584,3.146020809617658,18.65855844834681,0.104248046875,0.22998046875,30,2,2.617968946264442,2.6355953984478724,5.6734959552132125,0.25,2.0
triangular_n13,clean_triangular,13,clean_frustrated_candidate,1,True,12,12,0.0,0.0,1.5,multibasin_single_low_energy_funnel,multiple minima but only one lies in the low-energy window,8192,18,-6.952516963740768,1,1,3.4323149938310347,2.2585702563066823,7.564088333275474,0.2459716796875,0.2459716796875,17,0,0.0,1.1730138316125505,4.27911630710419,0.25,2.0
triangular_n13,clean_triangular,13,clean_frustrated_candidate,1,True,12,12,0.0,0.0,3.0,multibasin_single_low_energy_funnel,multiple minima but only one lies in the low-energy window,8192,18,-16.992920903560233,1,1,8.9727189336505,2.2590331025183628,7.569953487595602,0.2459716796875,0.2459716796875,17,0,0.0,2.6730138316125505,11.319520246923656,0.25,2.0
square_n12,clean_square_control,12,connected_bipartite_control,1,False,0,4,7.251946429389432e-17,4.4080992168171663e-16,1.5,rugged_low_energy_candidate,passes low-energy multiplicity and barrier filters,4096,18,-5.810213910664258,1,2,2.2384921248432783,2.6262823129399555,11.430567876000682,0.149169921875,0.189697265625,17,1,1.2211249856855577,0.3922981616031951,2.49512842465873,0.25,2.0
square_n12,clean_square_control,12,connected_bipartite_control,1,False,0,4,7.251946429389432e-17,4.4080992168171663e-16,3.0,multibasin_single_low_energy_funnel,multiple minima but only one lies in the low-energy window,4096,15,-13.711272885818367,1,1,6.395932217187454,1.852841920226774,3.88103105432587,0.455810546875,0.455810546875,14,0,0.0,2.717818167334002,7.053602551502911,0.25,2.0
vacancy_kagome_n12_v1_seed11,defected_kagome,12,defected_frustrated_candidate,1,True,3,3,0.0,2.1175823681357506e-16,1.5,rugged_low_energy_candidate,passes low-energy multiplicity and barrier filters,4096,40,-7.014843151724898,1,2,1.995028006839192,3.254273806519887,18.830070259714024,0.13427734375,0.22265625,39,1,1.1396641945291552,1.4121598312192427,3.004935579282045,0.25,2.0
vacancy_kagome_n12_v1_seed11,defected_kagome,12,defected_frustrated_candidate,1,True,3,3,0.0,2.1175823681357506e-16,3.0,rugged_low_energy_candidate,passes low-energy multiplicity and barrier filters,4096,40,-14.514843151724897,1,2,3.49502800683919,3.258085390252779,18.888071295725048,0.13427734375,0.22265625,39,1,2.6396641945291552,2.943478912835385,6.004935579282044,0.25,2.0
jittered_kagome_n12_seed19,bond_disordered_kagome,12,disordered_frustrated_candidate,1,True,4,5,0.027748360210515712,0.32189674143248426,1.5,rugged_low_energy_candidate,passes low-energy multiplicity and barrier filters,4096,31,-7.268416771394149,1,6,1.6273335391022616,3.1734056556878882,19.842952099349496,0.097900390625,0.36376953125,30,5,1.309115378045023,1.2795069193152413,2.906840458417503,0.25,2.0
jittered_kagome_n12_seed19,bond_disordered_kagome,12,disordered_frustrated_candidate,1,True,4,5,0.027748360210515712,0.32189674143248426,3.0,multibasin_single_low_energy_funnel,multiple minima but only one lies in the low-energy window,4096,16,-16.665190359757165,1,1,6.526110443451859,2.1931417258791663,6.7743539674502475,0.228271484375,0.1962890625,15,0,0.0,0.6177487242257254,6.723343109054994,0.25,2.0
amorphous_n12_seed33,amorphous_random_geometric,12,disordered_frustrated_candidate,1,True,5,6,0.031381033603961134,0.36373228840371513,1.5,rugged_low_energy_candidate,passes low-energy multiplicity and barrier filters,4096,20,-5.760010631945593,1,8,1.4948623736867077,2.641492862434256,10.981261994339588,0.1689453125,0.7373046875,19,7,1.3236047509003832,1.1368623972611136,2.12625274250289,0.25,2.0
amorphous_n12_seed33,amorphous_random_geometric,12,disordered_frustrated_candidate,1,True,5,6,0.031381033603961134,0.36373228840371513,3.0,rugged_low_energy_candidate,passes low-energy multiplicity and barrier filters,4096,24,-13.197919919416687,1,3,5.34415711415819,2.7237125104000195,12.023041058547163,0.13623046875,0.35888671875,23,2,2.393439529594451,1.017193175362241,5.759236089752335,0.25,2.0
