run_id,geometry,family,n_atoms,device_profile,replicate,omega_mhz,delta_initial_mhz,delta_target_mhz,delta_over_omega,sweep_ns,hold_ns,fall_ns,sweep_rate_mhz_per_us,blockade_ratio,baseline,jensen_shannon_bits,total_variation,hellinger,support_jaccard,candidate_mass_on_reference_support,reference_mass_on_candidate_support,quantum_samples,quantum_unique_basins,quantum_shannon_entropy_nats,quantum_normalized_entropy,quantum_collision_probability_p_q1,quantum_effective_basin_count,quantum_top_basin_mass,quantum_best_energy_mhz,quantum_mean_energy_mhz,quantum_energy_std_mhz,quantum_mean_replica_overlap,quantum_mean_pairwise_hamming,quantum_negative_overlap_mass,quantum_low_energy_threshold_mhz,quantum_low_energy_mass,quantum_unique_low_energy_basins,quantum_reference_minima,quantum_reference_basin_coverage,baseline_samples,baseline_unique_basins,baseline_shannon_entropy_nats,baseline_normalized_entropy,baseline_collision_probability_p_q1,baseline_effective_basin_count,baseline_top_basin_mass,baseline_best_energy_mhz,baseline_mean_energy_mhz,baseline_energy_std_mhz,baseline_mean_replica_overlap,baseline_mean_pairwise_hamming,baseline_negative_overlap_mass,baseline_low_energy_threshold_mhz,baseline_low_energy_mass,baseline_unique_low_energy_basins,baseline_reference_minima,baseline_reference_basin_coverage
g00_p000_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,300,0,300,30.0,1.2805351750774867,uniform_random,0.043109221763503736,0.18666666666666665,0.17407035320309383,1.0,1.0,1.0,300.0,9,1.9520750428486209,0.8884276386600395,0.17151111111111111,5.8305260430163255,0.30666666666666664,-13.006005166386513,-11.833229541238264,0.7844123778689434,0.30748641975308644,3.116311111111111,0.19355555555555554,-12.756005166386513,0.30666666666666664,1,9,1.0,300.0,9,2.0840991126099366,0.9485143822378733,0.13404444444444444,7.460212201591513,0.17666666666666667,-13.006005166386513,-11.518413470970433,0.5565668419009141,0.23778765432098767,3.4299555555555554,0.22673333333333331,-12.756005166386513,0.12,1,9,1.0
g00_p000_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,300,0,300,30.0,1.2805351750774867,simulated_annealing,0.04256163414929928,0.2066666666666667,0.17271127287184862,1.0,1.0,1.0,300.0,9,1.9520750428486209,0.8884276386600395,0.17151111111111111,5.8305260430163255,0.30666666666666664,-13.006005166386513,-11.833229541238264,0.7844123778689434,0.30748641975308644,3.116311111111111,0.19355555555555554,-12.756005166386513,0.30666666666666664,1,9,1.0,300.0,9,1.9736023919756893,0.8982251574704139,0.18357777777777778,5.447282411330347,0.36333333333333334,-13.006005166386513,-11.888924781785976,0.8517521042696627,0.25437530864197533,3.355311111111111,0.3532222222222222,-12.756005166386513,0.36333333333333334,1,9,1.0
g00_p000_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,300,0,300,30.0,1.2805351750774867,uniform_random,0.08151233460969434,0.2733333333333333,0.24085953535891508,1.0,1.0,1.0,300.0,9,1.8714856278782992,0.8517498152815921,0.19835555555555556,5.04145193815819,0.36333333333333334,-13.006005166386513,-11.933329822243834,0.8134893642893836,0.3379308641975308,2.9793111111111115,0.18399999999999997,-12.756005166386513,0.36333333333333334,1,9,1.0,300.0,9,2.0156683727589835,0.9173702103781564,0.1455111111111111,6.872327428222359,0.19,-13.006005166386513,-11.491849255757685,0.5000370336442559,0.24808395061728394,3.3836222222222223,0.20097777777777778,-12.756005166386513,0.09666666666666666,1,9,1.0
g00_p000_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,300,0,300,30.0,1.2805351750774867,simulated_annealing,0.048485852669910026,0.19000000000000003,0.18606755894599603,1.0,1.0,1.0,300.0,9,1.8714856278782992,0.8517498152815921,0.19835555555555556,5.04145193815819,0.36333333333333334,-13.006005166386513,-11.933329822243834,0.8134893642893836,0.3379308641975308,2.9793111111111115,0.18399999999999997,-12.756005166386513,0.36333333333333334,1,9,1.0,300.0,9,2.0471568915088296,0.9317012528553987,0.15533333333333332,6.437768240343348,0.30333333333333334,-13.006005166386513,-11.789671675079886,0.8110230350239481,0.2292395061728395,3.4684222222222223,0.35142222222222225,-12.756005166386513,0.30333333333333334,1,9,1.0
g00_p001_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,300,200,300,30.0,1.2805351750774867,uniform_random,0.2552453782303032,0.55,0.4300654304385142,1.0,1.0,1.0,300.0,9,1.2737751575705345,0.5797200571617406,0.466088888888889,2.145513492895966,0.67,-13.006005166386513,-12.447831962656203,0.7972120734765754,0.5633037037037038,1.9651333333333332,0.15524444444444443,-12.756005166386513,0.67,1,9,1.0,300.0,9,2.0840991126099366,0.9485143822378733,0.13404444444444444,7.460212201591513,0.17666666666666667,-13.006005166386513,-11.518413470970433,0.5565668419009141,0.23778765432098767,3.4299555555555554,0.22673333333333331,-12.756005166386513,0.12,1,9,1.0
g00_p001_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,300,200,300,30.0,1.2805351750774867,simulated_annealing,0.09530195517040224,0.30666666666666664,0.26198037333346563,1.0,1.0,1.0,300.0,9,1.2737751575705345,0.5797200571617406,0.466088888888889,2.145513492895966,0.67,-13.006005166386513,-12.447831962656203,0.7972120734765754,0.5633037037037038,1.9651333333333332,0.15524444444444443,-12.756005166386513,0.67,1,9,1.0,300.0,9,1.9736023919756893,0.8982251574704139,0.18357777777777778,5.447282411330347,0.36333333333333334,-13.006005166386513,-11.888924781785976,0.8517521042696627,0.25437530864197533,3.355311111111111,0.3532222222222222,-12.756005166386513,0.36333333333333334,1,9,1.0
g00_p001_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,300,200,300,30.0,1.2805351750774867,uniform_random,0.24126313886151593,0.53,0.41847258785029223,1.0,1.0,1.0,300.0,9,1.4520296397416437,0.6608471681588395,0.39364444444444446,2.5403635542508747,0.61,-13.006005166386513,-12.33855067067729,0.8380252151078964,0.49288395061728396,2.2820222222222224,0.19619999999999999,-12.756005166386513,0.61,1,9,1.0,300.0,9,2.0156683727589835,0.9173702103781564,0.1455111111111111,6.872327428222359,0.19,-13.006005166386513,-11.491849255757685,0.5000370336442559,0.24808395061728394,3.3836222222222223,0.20097777777777778,-12.756005166386513,0.09666666666666666,1,9,1.0
g00_p001_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,300,200,300,30.0,1.2805351750774867,simulated_annealing,0.08757919737830748,0.30666666666666664,0.24932886384970823,1.0,1.0,1.0,300.0,9,1.4520296397416437,0.6608471681588395,0.39364444444444446,2.5403635542508747,0.61,-13.006005166386513,-12.33855067067729,0.8380252151078964,0.49288395061728396,2.2820222222222224,0.19619999999999999,-12.756005166386513,0.61,1,9,1.0,300.0,9,2.0471568915088296,0.9317012528553987,0.15533333333333332,6.437768240343348,0.30333333333333334,-13.006005166386513,-11.789671675079886,0.8110230350239481,0.2292395061728395,3.4684222222222223,0.35142222222222225,-12.756005166386513,0.30333333333333334,1,9,1.0
g00_p002_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,900,0,300,10.0,1.2805351750774867,uniform_random,0.39903564229301575,0.7,0.542515552516601,1.0,1.0,1.0,300.0,9,0.8129081965887999,0.3699704640908031,0.6778222222222221,1.47531309422333,0.82,-13.006005166386513,-12.70192015138625,0.6503179877058937,0.7469925925925925,1.1385333333333336,0.07771111111111112,-12.756005166386513,0.82,1,9,1.0,300.0,9,2.0840991126099366,0.9485143822378733,0.13404444444444444,7.460212201591513,0.17666666666666667,-13.006005166386513,-11.518413470970433,0.5565668419009141,0.23778765432098767,3.4299555555555554,0.22673333333333331,-12.756005166386513,0.12,1,9,1.0
g00_p002_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,900,0,300,10.0,1.2805351750774867,simulated_annealing,0.1821589317107665,0.45666666666666667,0.36445169014007994,1.0,1.0,1.0,300.0,9,0.8129081965887999,0.3699704640908031,0.6778222222222221,1.47531309422333,0.82,-13.006005166386513,-12.70192015138625,0.6503179877058937,0.7469925925925925,1.1385333333333336,0.07771111111111112,-12.756005166386513,0.82,1,9,1.0,300.0,9,1.9736023919756893,0.8982251574704139,0.18357777777777778,5.447282411330347,0.36333333333333334,-13.006005166386513,-11.888924781785976,0.8517521042696627,0.25437530864197533,3.355311111111111,0.3532222222222222,-12.756005166386513,0.36333333333333334,1,9,1.0
