run_id,geometry,family,n_atoms,device_profile,replicate,omega_mhz,delta_initial_mhz,delta_target_mhz,delta_over_omega,sweep_ns,hold_ns,fall_ns,sweep_rate_mhz_per_us,blockade_ratio,method,samples,unique_basins,shannon_entropy_nats,normalized_entropy,collision_probability_p_q1,effective_basin_count,top_basin_mass,best_energy_mhz,mean_energy_mhz,energy_std_mhz,mean_replica_overlap,mean_pairwise_hamming,negative_overlap_mass,low_energy_threshold_mhz,low_energy_mass,unique_low_energy_basins,reference_minima,reference_basin_coverage,effective_basin_count_ci_lower,effective_basin_count_ci_upper,normalized_entropy_ci_lower,normalized_entropy_ci_upper,mean_energy_mhz_ci_lower,mean_energy_mhz_ci_upper,mean_pairwise_hamming_ci_lower,mean_pairwise_hamming_ci_upper,low_energy_mass_ci_lower,low_energy_mass_ci_upper,wall_seconds,generation_energy_evaluations,descent_flip_cost_evaluations
g00_p000_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,300,0,300,30.0,1.2805351750774867,quantum,300.0,9,1.9520750428486209,0.8884276386600395,0.17151111111111111,5.8305260430163255,0.30666666666666664,-13.006005166386513,-11.833229541238264,0.7844123778689434,0.30748641975308644,3.116311111111111,0.19355555555555554,-12.756005166386513,0.30666666666666664,1,9,1.0,5.172666634232409,6.367877619142329,0.8506308489587404,0.9123320576870594,-11.915147721847147,-11.757173593259116,2.9788783333333333,3.2358738888888885,0.26,0.3566666666666667,0.03557930300030421,,1233
g00_p000_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,300,0,300,30.0,1.2805351750774867,uniform_random,300.0,9,2.0840991126099366,0.9485143822378733,0.13404444444444444,7.460212201591513,0.17666666666666667,-13.006005166386513,-11.518413470970433,0.5565668419009141,0.23778765432098767,3.4299555555555554,0.22673333333333331,-12.756005166386513,0.12,1,9,1.0,6.580176778125515,7.744000779442616,0.9116555043734873,0.9610345641456436,-11.565976620517327,-11.466372886206374,3.315847222222222,3.4915105555555557,0.09,0.14666666666666667,0.003531677999490057,0,7659
g00_p000_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,300,0,300,30.0,1.2805351750774867,simulated_annealing,300.0,9,1.9736023919756893,0.8982251574704139,0.18357777777777778,5.447282411330347,0.36333333333333334,-13.006005166386513,-11.888924781785976,0.8517521042696627,0.25437530864197533,3.355311111111111,0.3532222222222222,-12.756005166386513,0.36333333333333334,1,9,1.0,4.6690385279019635,6.33229916635089,0.8578705156871219,0.925603546982732,-11.972149486640872,-11.791473237448201,3.1797172222222225,3.476306666666667,0.30666666666666664,0.41,0.787415036999846,108000,81
g00_p000_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,300,0,300,30.0,1.2805351750774867,quantum,300.0,9,1.8714856278782992,0.8517498152815921,0.19835555555555556,5.04145193815819,0.36333333333333334,-13.006005166386513,-11.933329822243834,0.8134893642893836,0.3379308641975308,2.9793111111111115,0.18399999999999997,-12.756005166386513,0.36333333333333334,1,9,1.0,4.3865491163125006,5.63158622195629,0.8126854236814514,0.8756831864291537,-12.01090238129929,-11.847198408092877,2.8157066666666672,3.113285555555555,0.31,0.41,0.035552284000004875,,1233
g00_p000_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,300,0,300,30.0,1.2805351750774867,uniform_random,300.0,9,2.0156683727589835,0.9173702103781564,0.1455111111111111,6.872327428222359,0.19,-13.006005166386513,-11.491849255757685,0.5000370336442559,0.24808395061728394,3.3836222222222223,0.20097777777777778,-12.756005166386513,0.09666666666666666,1,9,1.0,6.247796063679332,7.21737963490577,0.8881619213357863,0.9377598648103802,-11.531339943700088,-11.429486731496175,3.294547222222222,3.449045,0.06,0.12,0.0035142719998475513,0,7578
g00_p000_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,300,0,300,30.0,1.2805351750774867,simulated_annealing,300.0,9,2.0471568915088296,0.9317012528553987,0.15533333333333332,6.437768240343348,0.30333333333333334,-13.006005166386513,-11.789671675079886,0.8110230350239481,0.2292395061728395,3.4684222222222223,0.35142222222222225,-12.756005166386513,0.30333333333333334,1,9,1.0,5.347259993696753,7.0136437063643084,0.8870726670687044,0.9485280168031819,-11.898599638816172,-11.72176902708832,3.306391111111111,3.582942777777778,0.26158333333333333,0.36174999999999996,0.7877107869999236,108000,81
g00_p001_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,300,200,300,30.0,1.2805351750774867,quantum,300.0,9,1.2737751575705345,0.5797200571617406,0.466088888888889,2.145513492895966,0.67,-13.006005166386513,-12.447831962656203,0.7972120734765754,0.5633037037037038,1.9651333333333332,0.15524444444444443,-12.756005166386513,0.67,1,9,1.0,1.9050127034059077,2.4954184884637116,0.5181911094496464,0.6404010863299435,-12.524704955471675,-12.351581500179678,1.745037222222222,2.19942,0.6131666666666666,0.7150833333333333,0.04250263399990217,,819
g00_p001_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,300,200,300,30.0,1.2805351750774867,uniform_random,300.0,9,2.0840991126099366,0.9485143822378733,0.13404444444444444,7.460212201591513,0.17666666666666667,-13.006005166386513,-11.518413470970433,0.5565668419009141,0.23778765432098767,3.4299555555555554,0.22673333333333331,-12.756005166386513,0.12,1,9,1.0,6.580176778125515,7.744000779442616,0.9116555043734873,0.9610345641456436,-11.565976620517327,-11.466372886206374,3.315847222222222,3.4915105555555557,0.09,0.14666666666666667,0.003531677999490057,0,7659
g00_p001_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,300,200,300,30.0,1.2805351750774867,simulated_annealing,300.0,9,1.9736023919756893,0.8982251574704139,0.18357777777777778,5.447282411330347,0.36333333333333334,-13.006005166386513,-11.888924781785976,0.8517521042696627,0.25437530864197533,3.355311111111111,0.3532222222222222,-12.756005166386513,0.36333333333333334,1,9,1.0,4.6690385279019635,6.33229916635089,0.8578705156871219,0.925603546982732,-11.972149486640872,-11.791473237448201,3.1797172222222225,3.476306666666667,0.30666666666666664,0.41,0.787415036999846,108000,81
g00_p001_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,300,200,300,30.0,1.2805351750774867,quantum,300.0,9,1.4520296397416437,0.6608471681588395,0.39364444444444446,2.5403635542508747,0.61,-13.006005166386513,-12.33855067067729,0.8380252151078964,0.49288395061728396,2.2820222222222224,0.19619999999999999,-12.756005166386513,0.61,1,9,1.0,2.20852664247618,2.9960226335110125,0.5974514922245419,0.723618671860131,-12.4246189730126,-12.23738324099528,2.0449366666666666,2.561421111111111,0.5515833333333333,0.66,0.04261132200008433,,855
g00_p001_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,300,200,300,30.0,1.2805351750774867,uniform_random,300.0,9,2.0156683727589835,0.9173702103781564,0.1455111111111111,6.872327428222359,0.19,-13.006005166386513,-11.491849255757685,0.5000370336442559,0.24808395061728394,3.3836222222222223,0.20097777777777778,-12.756005166386513,0.09666666666666666,1,9,1.0,6.247796063679332,7.21737963490577,0.8881619213357863,0.9377598648103802,-11.531339943700088,-11.429486731496175,3.294547222222222,3.449045,0.06,0.12,0.0035142719998475513,0,7578
g00_p001_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,300,200,300,30.0,1.2805351750774867,simulated_annealing,300.0,9,2.0471568915088296,0.9317012528553987,0.15533333333333332,6.437768240343348,0.30333333333333334,-13.006005166386513,-11.789671675079886,0.8110230350239481,0.2292395061728395,3.4684222222222223,0.35142222222222225,-12.756005166386513,0.30333333333333334,1,9,1.0,5.347259993696753,7.0136437063643084,0.8870726670687044,0.9485280168031819,-11.898599638816172,-11.72176902708832,3.306391111111111,3.582942777777778,0.26158333333333333,0.36174999999999996,0.7877107869999236,108000,81
g00_p002_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,900,0,300,10.0,1.2805351750774867,quantum,300.0,9,0.8129081965887999,0.3699704640908031,0.6778222222222221,1.47531309422333,0.82,-13.006005166386513,-12.70192015138625,0.6503179877058937,0.7469925925925925,1.1385333333333336,0.07771111111111112,-12.756005166386513,0.82,1,9,1.0,1.3257295404994502,1.648583496939468,0.2976553603962713,0.4288178294527055,-12.781868602504877,-12.623302417654545,0.8649716666666667,1.3941200000000002,0.7731666666666667,0.8666666666666667,0.06556666199958272,,243
